ISIN;Ticker;Sector;Name
US88579Y1010;MMM;Industrials;3M Company
US8318652091;AOS;Industrials;A.O. Smith
US00766T1007;;;AECOM
US00130H1059;;;AES
US03662Q1058;ANSS;Information Technology;ANSYS Inc.
US03743Q1085;;;APA Corporation
US00206R1023;T;Communication Services;AT&T Inc.
US00287Y1091;ABBV;Health Care;AbbVie
US0028241000;ABT;Health Care;Abbott Laboratories
US00508Y1029;;;Acuity Brands Inc.
US00724F1012;ADBE;Information Technology;Adobe
US00751Y1064;;;Advance Auto Parts
US0079031078;AMD;Information Technology;Advanced Micro Devices Inc.
US00827B1061;;;Affirm Holdings Inc.
US0010551028;AFL;Financials;Aflac
US0010841023;;;Agco Corporation
US00846U1016;A;Health Care;Agilent Technologies
US0091581068;APD;Materials;Air Products and Chemicals
US0090661010;ABNB;Consumer Discretionary;Airbnb
US00971T1016;;;Akamai
US0116591092;;;Alaska Air Group
US0126531013;ALB;Materials;Albemarle
US0152711091;ARE;Real Estate;Alexandria Real Estate Equities
US0162551016;ALGN;Health Care;Align Technology
US0188021085;LNT;Utilities;Alliant Energy
US0200021014;ALL;Financials;Allstate
US02079K3059;GOOGL;Communication Services;Alphabet Inc. (Class A)
US02079K1079;GOOG;Communication Services;Alphabet Inc. (Class C)
US02209S1033;MO;Consumer Staples;Altria
US0231351067;AMZN;Consumer Discretionary;Amazon.com Inc.
US02341R3023;AMCR;Materials;Amcor plc
US0236081024;AEE;Utilities;Ameren
US0255371017;AEP;Utilities;American Electric Power
US0258161092;AXP;Financials;American Express Co.
US0268747849;;;American International Group (AIG)
US03027X1000;AMT;Real Estate;American Tower
US0304201033;AWK;Utilities;American Water Works
US03076C1062;AMP;Financials;Ameriprise Financial
US0311001004;AME;Industrials;Ametek
US0311621009;AMGN;Health Care;Amgen Inc.
US0320951017;APH;Information Technology;Amphenol
US0326541051;ADI;Information Technology;Analog Devices
US03769M1062;;;Apollo Global Management Inc.
US03831W1080;;;AppLovin Corporation
US0378331005;AAPL;Information Technology;Apple Inc.
US0382221051;AMAT;Information Technology;Applied Materials
US0394831020;ADM;Consumer Staples;Archer Daniels Midland
US03990B1017;;;Ares Management Corporation Class A
US0404132054;ANET;Information Technology;Arista Networks
US0420682058;;;Arm Holdings plc ADR
US3635761097;;;Arthur J. Gallagher
US04621X1081;AIZ;Financials;Assurant
US0494681010;;;Atlassian Corporation
US0495601058;ATO;Utilities;Atmos Energy
US0533321024;;;AutoNation Inc.
US05450G1040;AZO;Consumer Discretionary;AutoZone Inc.
US0527691069;;;Autodesk Inc.
US0530151036;ADP;Industrials;Automatic Data Processing
US0534841012;AVB;Real Estate;AvalonBay Communities Inc.
US0556221098;;;Avangrid
US0567521085;;;Avantor Inc.
US0536111091;AVY;Materials;Avery Dennison Corporation
US05751C1099;;;Axalta Coating Systems
US05464C1018;AXON;Industrials;Axon Enterprise
US05722G1004;BKR;Energy;Baker Hughes
US0585811054;BALL;Materials;Ball Corporation
US0605051046;BAC;Financials;Bank of America Corp.
US05964G1091;BK;Financials;Bank of New York Mellon Corp.
US06071K1014;BAX;Health Care;Baxter International Inc.
US0608161090;BDX;Health Care;Becton Dickinson and Co.
US06165C1053;BRK.B;Financials;Berkshire Hathaway Inc. (Class B)
US0625051043;BBY;Consumer Discretionary;Best Buy Co. Inc.
US09061G1013;;;Bio-Rad Laboratories Inc. Class A
US09062X1037;BIIB;Health Care;Biogen
US0640581007;BLK;Financials;BlackRock Inc.
US09260D1072;BX;Financials;Blackstone Inc.
US06417N1037;;;Block Inc.
US0970231058;BA;Industrials;Boeing Co.
US09857L1089;BKNG;Consumer Discretionary;Booking Holdings Inc.
US1011211018;BXP;Real Estate;Boston Properties Inc.
US1011371077;BSX;Health Care;Boston Scientific Corporation
US1101221083;BMY;Health Care;Bristol-Myers Squibb Company
US11135F1012;AVGO;Information Technology;Broadcom Inc.
US1113201073;BR;Industrials;Broadridge Financial Solutions Inc.
US09073M1045;BRO;Financials;Brown & Brown Inc.
US1156372096;BF.B;Consumer Staples;Brown-Forman Corporation Class B
US1220171060;;;Burlington Stores Inc.
US12541W2098;CHRW;Industrials;C.H. Robinson Worldwide Inc.
US12504L1098;CBRE;Real Estate;CBRE Group Inc. Class A
US12514G1085;CDW;Information Technology;CDW Corporation
US15189X1054;CF;Materials;CF Industries Holdings Inc.
US12572Q1058;CME;Financials;CME Group Inc.
US1264081035;CSX;Industrials;CSX
US1266501006;CVS;Health Care;CVS Health Corporation
US1273871087;CDNS;Information Technology;Cadence Design Systems
US12769G1004;CZR;Consumer Discretionary;Caesars Entertainment Inc.
US1331311027;CPT;Real Estate;Camden Property Trust
US1344291091;CPB;Consumer Staples;Campbell Soup Company
US14040H1059;COF;Financials;Capital One Financial Corporation
US1431301027;KMX;Consumer Discretionary;CarMax Inc.
US14149Y1082;CAH;Health Care;Cardinal Health Inc.
US14448C1045;CARR;Industrials;Carrier Global Corporation
US1468691027;;;Carvana Co. Class A
US1488061029;;;Catalent Inc.
US1491231015;CAT;Industrials;Caterpillar Inc.
US12503M1080;CBOE;Financials;Cboe Global Markets Inc.
US1508701034;CE;Materials;Celanese Corporation
US03073E1055;COR;Health Care;Cencora Inc.
US15135B1017;CNC;Health Care;Centene Corporation
US15189T1079;CNP;Utilities;CenterPoint Energy Inc.
US1567001060;;;Ceridian HCM Holding Inc.
US1598641074;;;Charles River Laboratories International Inc.
US16119P1084;CHTR;Communication Services;Charter Communications Inc. Class A
US1667641005;CVX;Energy;Chevron Corporation
US1696561059;CMG;Consumer Discretionary;Chipotle Mexican Grill Inc.
US1713401024;CHD;Consumer Staples;Church & Dwight Co. Inc.
US1717793095;CI;Health Care;Cigna Group
US1720621010;CINF;Financials;Cincinnati Financial Corporation
US1729081059;CTAS;Industrials;Cintas
