Ticker,Name,ISIN,WKN
ADS.DE,Adidas AG,DE000A1EWWW0,A1EWWW
AIR.DE,Airbus SE,NL0000235190,938914
ALV.DE,Allianz SE,DE0008404005,840400
BAS.DE,BASF SE,DE000BASF111,BASF11
BAYN.DE,Bayer AG,DE000BAY0017,BAY001
BEI.DE,Beiersdorf AG,DE0005200000,520000
BMW.DE,BMW AG,DE0005190003,519000
BNR.DE,Brenntag SE,DE000A1DAHH0,A1DAHH
CBK.DE,Commerzbank AG,DE000CBK1001,CBK100
CON.DE,Continental AG,DE0005439004,543900
MBG.DE,Mercedes-Benz Group AG,DE0007100000,710000
DB1.DE,Deutsche Börse AG,DE0005810055,581005
DBK.DE,Deutsche Bank AG,DE0005140008,514000
DHL.DE,DHL Group,DE0005552004,555200
DTG.DE,Daimler Truck Holding AG,DE000DTR0CK8,DTR0CK
DTE.DE,Deutsche Telekom AG,DE0005557508,555750
ENR.DE,Siemens Energy AG,DE000ENER6Y0,ENER6Y
EOAN.DE,E.ON SE,DE000ENAG999,ENAG99
FME.DE,Fresenius Medical Care AG,DE0005785802,578580
FRE.DE,Fresenius SE,DE0005785604,578560
HEI.DE,Heidelberg Materials AG,DE0006047004,604700
HEN3.DE,Henkel AG & Co. KGaA,DE0006048432,604843
HNR1.DE,Hannover Rück SE,DE0008402215,840221
IFX.DE,Infineon Technologies AG,DE0006231004,623100
LIN.DE,Linde plc,IE000S9YS762,A2DSYC
MRK.DE,Merck KGaA,DE0006599905,659990
MTX.DE,MTU Aero Engines AG,DE000A0D9PT0,A0D9PT
MUV2.DE,Münchener Rückversicherungs-Gesellschaft AG,DE0008430026,843002
P911.DE,Porsche AG,DE000PAG9113,PAG911
PAH3.DE,Porsche Automobil Holding SE,DE000PAH0038,PAH003
QIA.DE,Qiagen N.V.,NL0012169213,A2DKCH
RHM.DE,Rheinmetall AG,DE0007030009,703000
RWE.DE,RWE AG,DE0007037129,703712
SAP.DE,SAP SE,DE0007164600,716460
SHL.DE,Siemens Healthineers AG,DE000SHL1006,SHL100
SIE.DE,Siemens AG,DE0007236101,723610
SY1.DE,Symrise AG,DE000SYM9999,SYM999
VNA.DE,Vonovia SE,DE000A1ML7J1,A1ML7J
VOW3.DE,Volkswagen AG,DE0007664039,766403
ZAL.DE,Zalando SE,DE000ZAL1111,ZAL111
